keys,en,de,zh_CN,fr,zh_TW,ja,ko,es,es_MX,pt_PT,pt_BR,ru
formation_assignment_instructional_header,Send your guild to:,Schicke deine Gilde nach:,派遣你的公会前往：,Envoyez votre guilde vers :,派遣你的公會前往：,ギルドの派遣先：,길드를 파견할 곳:,Envía a tu gremio a:,Envía a tu gremio a:,Envia a tua guilda para:,Envie sua guilda para:,Отправьте гильдию в:
slot_empty_label,Empty,Leer,空缺,Vide,空缺,空き,비어 있음,Vacío,Vacío,Vazio,Vazio,Пусто
slot_selected_badge,Selected,Ausgewählt,已选择,Sélectionné,已選擇,選択中,선택됨,Seleccionado,Seleccionado,Selecionado,Selecionado,Выбрано
injured_badge_label,Injured,Verletzt,受伤,Blessé,受傷,負傷,부상,Herido,Herido,Ferido,Ferido,Ранен
injured_badge_format,Injured · %s,Verletzt · %s,受伤 · %s,Blessé · %s,受傷 · %s,負傷 · %s,부상 · %s,Herido · %s,Herido · %s,Ferido · %s,Ferido · %s,Ранен · %s
dispatch_button,Dispatch,Entsenden,派遣,Déployer,派遣,派遣,파견,Desplegar,Enviar,Despachar,Despachar,Отправить
dispatch_error_empty_formation,Assign at least one hero to your formation.,Weise deiner Formation mindestens einen Helden zu.,请至少为你的阵容指派一名英雄。,Assignez au moins un héros à votre formation.,請至少為你的陣容指派一名英雄。,編成に最低1人のヒーローを配置してください。,편성에 영웅을 최소 한 명 배치하세요.,Asigna al menos un héroe a tu formación.,Asigna al menos un héroe a tu formación.,Atribui pelo menos um herói à tua formação.,Atribua pelo menos um herói à sua formação.,Добавьте в состав хотя бы одного героя.
dispatch_error_floor_locked,That floor is locked.,Diese Ebene ist gesperrt.,该层尚未解锁。,Cet étage est verrouillé.,該樓層尚未解鎖。,その階はまだ解放されていません。,해당 층은 잠겨 있습니다.,Esa planta está bloqueada.,Ese piso está bloqueado.,Esse piso está bloqueado.,Esse andar está bloqueado.,Этот этаж заблокирован.
dispatch_error_run_already_active,A run is already in progress.,Eine Expedition ist bereits im Gange.,已有一场远征正在进行。,Une expédition est déjà en cours.,已有一場遠征正在進行。,すでに遠征が進行中です。,이미 원정이 진행 중입니다.,Ya hay una expedición en curso.,Ya hay una expedición en curso.,Já está uma expedição em curso.,Já há uma expedição em andamento.,Поход уже идёт.
dispatch_error_generic,Something went wrong. Try again.,Etwas ist schiefgelaufen. Versuche es erneut.,出了点问题，请重试。,Une erreur est survenue. Réessayez.,出了點問題，請重試。,エラーが発生しました。もう一度お試しください。,문제가 발생했습니다. 다시 시도하세요.,Algo ha salido mal. Inténtalo de nuevo.,Algo salió mal. Inténtalo de nuevo.,Algo correu mal. Tenta novamente.,Algo deu errado. Tente novamente.,Что-то пошло не так. Попробуйте снова.
recruit_a_hero_label,Recruit a hero to begin.,"Rekrutiere einen Helden, um zu beginnen.",先招募一名英雄开始吧。,Recrutez un héros pour commencer.,先招募一名英雄開始吧。,ヒーローを採用して始めましょう。,영웅을 모집하여 시작하세요.,Recluta a un héroe para empezar.,Recluta a un héroe para empezar.,Recruta um herói para começar.,Recrute um herói para começar.,"Наймите героя, чтобы начать."
floor_label_forest_reach_1,Forest Reach — Floor 1,Waldgrund — Ebene 1,森林边境 — 第1层,Confins de la forêt — Étage 1,森林邊境 — 第1層,森の辺境 — 1階,숲의 변경 — 1층,Confín del Bosque — Planta 1,Confín del Bosque — Piso 1,Confins da Floresta — Piso 1,Confins da Floresta — Andar 1,Лесная окраина — Этаж 1
dungeon_run_view_title,Dungeon Run,Verlieslauf,地下城远征,Expédition en donjon,地城遠征,ダンジョン遠征,던전 원정,Expedición a la mazmorra,Expedición a la mazmorra,Expedição na Masmorra,Expedição na Masmorra,Поход в подземелье
tick_label_prefix,Tick:,Takt:,回合：,Tour :,回合：,ティック：,틱:,Turno:,Turno:,Turno:,Turno:,Такт:
kill_count_label_prefix,Kills:,Besiegt:,击杀：,Éliminations :,擊殺：,撃破：,처치:,Bajas:,Bajas:,Abates:,Abates:,Убийства:
run_complete_kill_count_format,Run Complete — %d kills,Expedition abgeschlossen — %d Gegner besiegt,远征完成 — 击杀 %d,Expédition terminée — %d éliminations,遠征完成 — 擊殺 %d,遠征完了 — %d 体撃破,원정 완료 — %d 처치,Expedición completada — %d bajas,Expedición completada — %d bajas,Expedição concluída — %d abates,Expedição concluída — %d abates,Поход завершён — убийств: %d
run_defeat_floor_format,Driven back at Floor %d — your guild is recovering.,Zurückgeschlagen auf Ebene %d — deine Gilde erholt sich.,在第 %d 层被击退 — 你的公会正在恢复。,Repoussé à l'étage %d — votre guilde récupère.,在第 %d 層被擊退 — 你的公會正在恢復。,%d 階で撃退されました — ギルドは回復中です。,%d층에서 격퇴당함 — 길드가 회복 중입니다.,Rechazados en la planta %d — tu gremio se está recuperando.,Rechazados en el piso %d — tu gremio se está recuperando.,Repelidos no Piso %d — a tua guilda está a recuperar.,Repelidos no Andar %d — sua guilda está se recuperando.,Отброшены на этаже %d — гильдия восстанавливается.
hero_level_up_toast_format,%s reached level %d!,%s hat Stufe %d erreicht!,%s 升到了 %d 级！,%s a atteint le niveau %d !,%s 升到了 %d 級！,%s がレベル %d に到達！,%s이(가) %d레벨에 도달했습니다!,¡%s ha alcanzado el nivel %d!,¡%s alcanzó el nivel %d!,%s chegou ao nível %d!,%s chegou ao nível %d!,%s получает уровень %d!
hero_milestone_toast_format,Milestone! %s is now Level %d,Meilenstein! %s ist jetzt Stufe %d,里程碑！%s 现已达到 %d 级,Palier ! %s est désormais niveau %d,里程碑！%s 現已達到 %d 級,節目達成！%s はレベル %d になりました,이정표 달성! %s이(가) 이제 %d레벨입니다,¡Hito! %s ahora es nivel %d,¡Hito! %s ahora es nivel %d,Marco alcançado! %s está agora no Nível %d,Marco alcançado! %s agora está no Nível %d,Рубеж! %s теперь уровень %d
biome_unlocked_toast_format,New region unlocked: %s,Neue Region freigeschaltet: %s,解锁新区域：%s,Nouvelle région débloquée : %s,解鎖新區域：%s,新しい地域を解放：%s,새 지역 해금: %s,Nueva región desbloqueada: %s,Nueva región desbloqueada: %s,Nova região desbloqueada: %s,Nova região desbloqueada: %s,Открыт новый регион: %s
